三星	0.1368	1272
电话线	0.067	138
透明套	0.0892	63
hellokitty	0.0378	29
音箱线	0.0241	54
迪士尼	0.1866	40
fibbr	0.0	10
硅胶套	0.1991	75
thinkpad	0.1954	276
三堡	0.0567	30
双向	0.0691	53
电源线	0.0728	177
专用	0.1395	70
步步高	0.0613	27
健身	0.1511	15
小辣椒	0.3515	57
车载	0.0612	372
迷你	0.0667	165
普通	0.0776	17
怪兽	0.0447	60
运动	0.0847	79
经典	0.4294	81
酷客	0.0829	19
面包	0.0903	12
压线钳	0.0512	28
皮壳	0.0152	39
7300	0.1263	12
samzhe	0.0569	560
风景	0.0063	53
benks	0.1754	278
音视频线	0.0913	31
扎带	0.0944	84
卡纳	0.1571	11
台式机	0.0945	146
四芯	0.0121	21
软硬	0.1017	47
覆盖	0.1252	2641
纯铜	0.0528	419
出色	0.2705	19
镂空	0.0065	17
全铝	0.1038	67
潮牌	0.0565	11
接口线	0.0388	31
透亮	0.0825	46
老人	0.3101	143
kitty	0.0341	166
dell	0.1148	226
冰河	0.7486	29
6150	0.0	13
千兆	0.0473	631
锌合金	0.0423	20
钢钉	0.083	23
两件式	0.0318	14
网易	0.1351	10
超细	0.1183	12
cool	0.2164	69
烤漆	0.081	147
不锈钢	0.1873	10
magic	0.1687	19
什么	0.1466	99
保护膜	0.1474	1224
5300	0.0544	11
延长	0.0592	55
印花	0.0421	24
4013	0.1025	10
lijia	0.0184	68
6300	0.0451	22
洛克	0.158	306
联通	0.6661	1610
简约	0.3051	144
游戏	0.2232	36
王者	0.0623	53
超五类	0.0518	380
开关	0.0395	23
西蒙	0.0	21
时刻	0.0239	14
摄像头	0.1785	41
1661	0.6306	35
守护	0.2901	48
触控	0.1635	130
磁吸	0.0447	125
towe	0.0805	18
speck	0.034	61
1080	0.0825	107
对方	0.055	17
佳能	0.0332	11
0050	0.0081	18
国标	0.0668	76
吊绳	0.0965	24
1660	0.4473	36
翻转	0.1636	65
iphonese	0.1119	26
500g	0.1633	388
摩仕	0.0455	55
转接	0.0361	74
切换器	0.0767	46
群山	0.0579	27
隔离	0.2774	26
amcat	0.0293	94
面膜	0.0468	16
对公	0.0512	522
吉他	0.0342	40
女神	0.1114	10
原创	0.0569	33
套装	0.4092	400
网线钳	0.0551	23
huawei	0.3607	197
铁塔	0.059	33
大屏	0.1508	20
0200	0.0171	13
强力	0.0639	29
nubia	0.5167	98
dostyle	0.3518	56
valea	0.0801	91
边框	0.1527	422
麦沃	0.0	11
6006	0.233	22
5000	0.2369	81
银灰	0.518	12
usb3	0.064	618
5005	0.1744	25
choseal	0.0705	200
撞色	0.0293	17
envy	0.1437	44
9250	0.0537	11
0100	0.0139	16
旅游	0.117	10
fluke	0.0	16
6005	0.127	24
耳麦	0.2686	30
星钻	0.5978	10
真皮	0.0514	65
棉花糖	0.0262	17
rs232	0.1268	28
防裂	0.2184	24
游泳包	0.0944	18
关机	0.1423	23
件套	0.225	22
ximu	0.1109	109
3000	0.1459	17
baseus	0.068	299
系列	0.0735	4096
樱花	0.3703	44
超薄	0.1462	164
幽灵	0.347	17
6500	0.1686	149
彩虹	0.1188	15
256g	0.2581	225
9550	0.1964	35
changer	0.3043	16
铠甲	0.0553	21
冰山	0.0202	11
放大器	0.0503	23
网卡	0.0716	164
意外	0.0283	28
adidas	0.0899	36
先生	0.1436	11
创意	0.0718	298
lc-lc	0.0097	30
接线板	0.129	31
防滑	0.0751	70
蔷薇	0.3879	15
臂包	0.0832	53
投影	0.0294	31
贴纸	0.0752	14
正版	0.1411	103
茶色	0.0546	31
视窗	0.1703	66
彩绘	0.039	428
以内	0.1673	13
视频线	0.0508	239
适于	0.0	12
风车	0.0101	11
机柜	0.0422	22
串口	0.1013	50
典雅	0.1255	105
本色	0.1224	85
按键	0.0411	26
shengwei	0.0647	300
优加	0.0412	1007
0500	0.0	10
尊贵	0.0572	21
魔力	0.3615	21
ipone	0.0814	46
microusb	0.1089	14
音频线	0.0662	676
海蓝	0.5499	47
延伸	0.0711	75
硬盘盒	0.0869	38
6200	0.1825	333
iphone	0.1212	5447
外接	0.0774	34
直通	0.097	69
displayport	0.0627	143
梅花	0.0417	15
type	0.0344	455
集成	0.0111	10
电信	0.6447	1490
meizu	0.3074	14
一分四	0.035	11
2016	0.2062	79
亿色	0.2172	447
公开	0.8703	201
邦克仕	0.1754	278
格纹	0.0111	10
kaiboer	0.0278	56
信诺	0.024	47
专业	0.0611	51
对录	0.0378	56
5.15	0.0643	14
工具	0.1076	86
7000	0.2563	83
moto	0.2575	38
挂脖	0.1057	26
延长线	0.0529	562
适合	0.037	46
捆绑带	0.0736	16
blade	0.2571	19
供电	0.0803	67
编织	0.066	23
投影仪	0.0497	572
八字	0.0855	12
凯蒂	0.0227	111
卡通	0.068	572
幻夜	0.6203	23
dual	0.2768	31
模拟	0.1085	14
快充	0.0296	33
麦芒	0.1371	94
背壳	0.0915	32
奔腾	0.0795	10
数码	0.0799	40
信号	0.0349	88
gbssd	0.2757	23
三合一	0.0509	11
疾速	0.0755	11
三叶草	0.1115	11
设备	0.0111	20
三防	0.2083	18
elitebook	0.0965	51
手机膜	0.2216	305
包尔星克	0.0217	218
1050	0.0922	22
车用	0.0495	281
win8	0.1095	25
天道酬勤	0.0175	30
独显	0.1838	758
塑料	0.062	34
尊享	0.7591	61
单肩包	0.1307	10
神盾	0.0397	12
加长	0.0323	194
6100	0.0648	35
串口线	0.1136	13
sata	0.0734	77
128g	0.3274	169
记号	0.0828	10
minidp	0.0569	18
appleiphone	0.2398	35
24口	0.0051	22
音响	0.0663	380
字母	0.0111	10
puro	0.0093	24
模块	0.0589	136
1699	0.2199	13
经济	0.125	11
白玉	0.0392	43
牛皮	0.0346	37
定制	0.531	77
双通头	0.0974	58
mofi	0.1704	25
朗客	0.2126	458
包包	0.0191	10
清水	0.0447	26
二合一	0.1555	99
otterbox	0.036	27
插口	0.1739	23
摇摆	0.0198	103
面板	0.0395	35
登山	0.0873	10
torras	0.1228	30
模块化	0.4396	15
架式	0.0186	12
跳线	0.0405	740
光驱	0.1205	20
飚王	0.0641	46
个性	0.0627	88
小兔	0.1	10
喇叭线	0.0093	12
schneider	0.034	12
坚果	0.3938	79
刀锋	0.0371	12
美颜	0.6255	29
土豪金	0.0479	142
镶钻	0.034	48
ampcom	0.0399	251
弹片	0.0552	19
0150	0.0238	23
皮革	0.0773	12
橙色	0.0487	69
11.6	0.1261	31
月光白	0.5726	11
前后	0.1025	29
iglaze	0.0511	21
服务器	0.0725	21
潮男	0.1597	38
9200	0.0604	17
office	0.284	89
unitek	0.1033	396
光纤线	0.0975	21
京东	0.0915	124
胜为	0.0647	300
闪粉	0.1049	65
尾纤	0.0029	51
绿巨能	0.1091	47
12.5	0.1831	108
调音台	0.0614	77
电视线	0.0331	80
加厚	0.0931	22
陶瓷	0.4481	22
深蓝色	0.0735	26
外皮	0.0081	18
通话	0.0	12
免驱	0.1236	47
pius	0.0834	13
遥控	0.0559	10
